,Coefficient
vertical_drop,1.095830316569485
trams,0.1571957117828022
fastSixes,0.9956944917827574
fastQuads,1.5929988642853443
quad,1.4230749230331607
triple,1.3533424582475226
double,0.0688197075963777
surface,2.0402909169888868
total_chairs,0.710920837404518
Runs,0.6258071303301094
TerrainParks,0.15915043354558148
LongestRun_mi,0.6131532948347945
SkiableTerrain_ac,1.5645265945562918
Snow Making_ac,0.2377101657760952
daysOpenLastYear,1.5781814591303494
yearsOpen,0.30868578191219725
averageSnowfall,1.5424451614481836
AdultWeekday,18.783440824373475
projectedDaysOpen,1.06103845210444
NightSkiing_ac,0.5962199929527943
clusters,1.1919524967978679
